,Binary Balanced 1,Binary Balanced 2,Binary Extreme 1a,Binary Extreme 1b,Binary Extreme 2,Trinary Balanced 1,Trinary Balanced 2,Trinary Skewed 1a,Trinary Skewed 1b,Trinary Skewed 2,Trinary Extreme 1a,Trinary Extreme 1b,Trinary Extreme 2,Quaternary Balanced 1,Quaternary Balanced 2,Quaternary Skewed 1a,Quaternary Skewed 1b,Quaternary Skewed 2,Quaternary Extreme 1a,Quaternary Extreme 1b,Quaternary Extreme 2,Continuous Normal,Continuous Skewed,Continuous Binary Normal 1,Continuous Binary Normal 2,Continuous Trinary Normal,Continuous Quaternary Normal,Continuous Binary Skewed,Continuous Trinary Skewed,Continuous Quaternary Skewed,Unary 1,Unary 2,Correlated 1,Correlated 2
703,B,D,E,H,J,B,E,A,D,J,A,D,J,D,G,H,L,R,H,L,S,-0.005549945701938742,0.005941201779091277,5.003447341688636,10.001760839175367,1.914242224717674,3.963575162452227,4.662664899052333,3.800924076020634,16.101832440276517,-19.223800667599882,-75.67565107769921,703,703
704,A,C,E,H,J,C,F,A,D,J,A,D,J,A,D,H,L,R,H,L,S,0.08502423276125948,0.0025711786879846544,0.9998574923819268,2.013270997239709,3.1084490671732814,1.050862233304045,1.2821777699717671,9.706507608565365,0.9179467470216328,-12.604459177471796,-35.07525020613477,704,704
705,B,D,E,H,J,A,D,A,D,J,A,D,J,B,E,H,L,R,H,L,S,0.07796509684532281,0.001188051593294113,4.994184937307566,10.005029676401401,1.0108474253259407,1.998184740215056,3.854059134283847,1.1357246848585694,4.146802547050747,-21.59285135659188,-22.003284638821842,705,704
706,A,C,E,H,J,B,E,A,D,J,A,D,J,C,F,H,L,R,H,L,S,-0.2803137769354311,0.0007669344935168611,1.0072499814309512,2.0143054173163963,1.9601909831165323,3.1840374157557085,0.984367740881293,3.5907890750861444,10.466645509302719,-19.42554260952491,-20.05437778917456,706,705
707,B,D,E,H,J,C,F,A,D,J,A,D,J,D,G,H,L,R,H,L,S,-0.010591315774088993,0.00012175049142963595,5.024932854397773,9.986250424368286,3.086422478911249,3.933679010824215,3.633498059103141,10.218748469425245,15.740349015720557,-2.317738318057815,-47.6569436082749,707,707
708,A,C,E,H,J,A,D,A,D,J,A,D,J,A,D,H,L,R,H,L,S,0.0807063553668693,0.0003489951159134289,0.9869802578035305,1.9804407104195512,0.9098211884022067,1.2719169139914694,1.0171543853715443,1.0394207345150792,0.8068013331599834,-2.3654184536758827,-0.3360503911849122,708,707
709,B,D,E,H,J,B,E,A,D,J,A,D,J,B,E,H,L,R,H,L,S,0.08461501730115932,0.0010380974684158926,4.996827875638371,10.018051856787968,1.9496404039291644,2.004008733164072,3.267713043630331,4.300441253827543,3.630897354849734,-15.90077675770762,1.9696953392940841,709,708
710,A,C,E,H,J,C,F,A,D,J,A,D,J,C,F,H,L,R,H,L,S,0.03610559454208119,0.0010880224247243968,0.995755940015307,2.0105273615275787,2.924967939712098,3.124088324586023,1.2136590468590693,8.351938337021101,8.484648790283414,-24.22740614510366,-3.6851671715562873,710,709
711,B,D,E,H,J,A,D,A,D,J,A,D,J,D,G,H,L,R,H,L,S,-0.09478759480099935,0.009741834083691047,5.004783174136144,9.995170035852441,0.975445630528221,3.8800002408408822,4.343706000002659,1.5214193935887415,14.534565151315949,-2.3701756416916453,-22.52634602168871,711,710
712,A,C,E,H,J,B,E,A,D,J,A,D,J,A,D,H,L,R,H,L,S,-0.09341103778681999,0.0036706373644939806,1.0067501923006517,2.013010743716341,2.1558419269997042,1.016283271058537,1.0238926669170836,3.756641214346765,0.8886695613428948,1.3240467254325665,-36.95246646982747,712,712
713,B,D,E,H,J,C,F,A,D,J,A,D,J,B,E,H,L,R,H,L,S,0.04784985429183726,0.0396667245303646,5.025020990887147,9.985356999142574,3.0709418800112656,2.0345367453774736,4.283813018751262,8.870454711417606,3.887084528115793,-15.40847430041044,-9.553882110752998,713,713
714,A,C,E,H,J,A,D,A,D,J,A,D,J,C,F,H,L,R,H,L,S,-0.0848864206940447,0.010462715776159127,1.0053647490654005,2.0127504402830656,0.9912379378645348,2.9410172312207794,0.8223952767449928,1.0599323571051902,8.911339503643092,-2.5992931619933923,-12.247287536554337,714,713
715,B,D,E,H,J,B,E,A,D,J,A,D,J,D,G,H,L,R,H,L,S,0.040228579283564096,0.05065072688914235,4.990164995986094,9.995550880538083,1.8972157519322286,3.919562250702628,4.085645054791236,4.223907288309453,16.20478159681658,-13.217609896785246,-11.422001565484567,715,715
716,A,C,E,H,J,C,F,A,D,J,A,D,J,A,D,H,L,R,H,L,S,0.11908592327399736,0.009740205195663194,1.020588227204925,2.024778807502601,2.9342787748626593,0.9167408115257298,0.8971781042096769,9.975393710176862,1.2266129022132297,-37.10784381931984,-6.034164202370512,716,715
717,B,D,E,H,J,A,D,A,D,J,A,D,J,B,E,H,L,R,H,L,S,0.10961575304109837,0.00463307827994242,5.006274333747202,10.000738647357222,1.1746479750355827,2.0612813985467056,3.970605896662431,0.8620317426808124,3.9467332143850706,-8.43267525817954,-18.128072657278693,717,717
718,A,C,E,H,J,B,E,A,D,J,A,D,J,C,F,H,L,R,H,L,S,-0.010642628953646711,0.0007551569272219496,0.9962571574069894,1.999006395776692,2.1462757601753606,3.1053104261461395,0.8480639820136836,4.527222809159705,9.669240064933533,-10.342177763099555,-30.153362680140948,718,718
719,B,D,E,H,J,C,F,A,D,J,A,D,J,D,G,H,L,R,H,L,S,-0.06911513358540537,0.02856709598621827,5.006176411997894,10.008860550734338,3.0346156381932157,4.1032839267891354,4.127966213895664,9.248055693509492,16.154771993480626,1.9446533787386784,-26.730053259785933,719,718
720,A,C,E,H,J,A,D,A,D,J,A,D,J,A,D,H,L,R,H,L,S,0.09139494141219359,0.014333104527475944,0.9984563451777461,2.0181303345770445,0.7707192125385236,1.0198356668986364,0.8237461771516915,0.8789495482542748,1.1618344115702608,-7.191948315908906,-20.68693986930146,720,720
721,B,D,E,H,J,B,E,A,D,J,A,D,J,B,E,H,L,R,H,L,S,-0.09380085480760264,0.02204593448460045,4.997354501744484,10.007119377428221,2.0624466958078456,1.9405947252065185,3.3025506854162887,3.5983581451661224,4.170736853668942,-15.042979278927652,-21.159859986440228,721,721
722,A,C,E,H,J,C,F,A,D,J,A,D,J,C,F,H,L,R,H,L,S,-0.04245769949016496,0.016467688051602224,0.9840562868991723,2.0080557494054823,3.0390446932515407,3.0508573215105272,1.2437739470922837,8.592080687272313,8.704522195411043,-13.189940362948509,-27.613529437680427,722,721
723,B,D,E,H,J,A,D,A,D,J,A,D,J,D,G,H,L,R,H,L,S,-0.04357093397723882,0.0014876433629304093,5.016977754287893,9.993242523104215,1.0277214160572394,3.961222108521596,3.7825789807766954,1.2285917333427878,14.827141136718627,-23.673366450073896,-19.500802564307488,723,723
724,A,C,E,H,J,B,E,A,D,J,A,D,J,A,D,H,L,R,H,L,S,0.03713756325932003,0.006654663158758453,0.9941390006211217,2.0073031199064273,1.8857364325711832,1.073878215275663,0.7437666440633537,3.5812705791720676,1.2420933949390953,-8.137125846118176,-27.756799608258902,724,724
725,B,D,E,H,J,C,F,A,D,J,A,D,J,B,E,H,L,R,H,L,S,0.055178243079383384,0.007679927839280378,5.0093717213283435,10.00243214237749,3.0238876399825187,2.0009184927797645,4.315930214622993,9.192190636741637,4.18148953836632,-5.347723008518798,-9.104539388804305,725,725
726,A,C,E,H,J,A,D,A,D,J,A,D,J,C,F,H,L,R,H,L,S,0.08324160334557246,0.002828543341128028,1.0136629963002284,2.0105525174998364,0.9299655506804018,2.898292181594884,0.9658744328966188,1.4627621180976023,9.198819865698711,-10.991718282642342,2.0450041314088594,726,726
727,B,D,E,H,J,B,E,A,D,J,A,D,J,D,G,H,L,R,H,L,S,0.01781423779233467,0.03251955762442844,4.989984645705261,9.993239650032365,2.054373620483399,3.896461689971583,3.9611166608045223,3.987651991981999,15.664548897660135,-12.378256025171495,-11.709261341071047,727,726
728,A,C,E,H,J,C,F,A,D,J,A,D,J,A,D,H,L,R,H,L,S,-0.008907222602083743,0.0003951945859017296,1.0172400486928084,2.005670146486953,2.9541759718450846,0.9907137509844369,1.001505194562715,9.519664590607102,1.084623784134465,0.7618908852634867,-2.909614744879402,728,727
729,B,D,E,H,J,A,D,A,D,J,A,D,J,B,E,H,L,R,H,L,S,-0.0980216443941137,0.0021435862151619463,4.997142775732244,9.986360257498815,0.764612300195606,2.024158759757261,3.813802530372398,0.9991305156885791,3.9469923477036577,-25.426083145239573,-15.313646752889738,729,728
730,A,C,E,H,J,B,E,A,D,J,A,D,J,C,F,H,L,R,H,L,S,-0.024684233419077446,0.00013449222263381899,0.9910788811754526,2.0009293087801927,2.046657245433855,3.0055623809801646,1.3561368180450972,3.4296560759587735,9.990024592391947,-15.115766783418524,-11.150304216335758,730,730
731,B,D,E,H,J,C,F,A,D,J,A,D,J,D,G,H,L,R,H,L,S,0.059328454084570006,0.005575902488021061,4.998192380504962,10.00582178127518,2.91328872544024,4.250790040104124,4.524820334756769,7.886260661460705,15.314541784421136,-4.033730392725728,-29.48056788947163,731,730
732,A,C,E,H,J,A,D,A,D,J,A,D,J,A,D,H,L,R,H,L,S,0.24815123157428018,0.022704538649763073,0.9939474910204112,1.9905229584723907,0.9699788444140012,1.0432343617748223,0.8153833147768137,0.8404473333405258,0.7928370773765234,-15.448351061987214,-3.61304738374033,732,731
733,B,D,E,H,J,B,E,A,D,J,A,D,J,B,E,H,L,R,H,L,S,0.030955288672609667,0.00035540899928569486,5.003529727802334,10.010670174842394,2.0448105218797834,2.114006583714958,3.847307267567162,3.899864604290293,4.0953111866125145,-5.708921346859023,2.6973497628138112,733,732
734,A,C,E,H,J,C,F,A,D,J,A,D,J,C,F,H,L,R,H,L,S,3.1441591750132397e-06,0.0015251038621882295,0.9925714135753021,2.012359371558868,2.913862104165767,3.108552066001788,0.9261582138292626,9.17756896270401,8.527637529001423,-9.232545955754185,20.52838042992154,734,734
735,B,D,E,H,J,A,D,A,D,J,A,D,J,D,G,H,L,R,H,L,S,0.1682270812175693,0.0005012866547428852,4.991383937015838,10.01414310686923,0.9622347357583362,4.0222895949417845,3.5653881904824147,0.8915446461145544,15.627767909475635,-6.096758033912257,-39.16665465115142,735,734
736,A,C,E,H,J,B,E,A,D,J,A,D,J,A,D,H,L,R,H,L,S,-0.029670936974373476,4.892343871539151e-05,0.990036823208306,2.003904278763415,1.8729057750007359,1.251536157345303,0.7868199164224712,4.180927484716883,1.293626708203619,-2.9089633448168115,-36.7380465453228,736,736
737,B,D,E,H,J,C,F,A,D,J,A,D,J,B,E,H,L,R,H,L,S,-0.21527057383723341,0.012750955173679487,5.007202766647457,9.980621168171506,2.892998093002822,1.9761305013933523,3.876496873221333,9.737666344545902,3.9813473231230834,-19.135107656714435,-13.389451365519447,737,736
738,A,C,E,H,J,A,D,A,D,J,A,D,J,C,F,H,L,R,H,L,S,0.061841800603145536,0.0008380238017727229,0.9759127725675331,1.9853988051556726,1.1058045398665453,2.9665655783547518,1.0036198923045827,1.196942770702772,9.833907697676201,-21.245821731950443,-13.440178588662134,738,737
739,B,D,E,H,J,B,E,A,D,J,A,D,J,D,G,H,L,R,H,L,S,0.022113406210688562,0.007959469791139305,5.003505355961334,10.000631312621785,1.9695136713462904,4.071078444585949,3.4991851862158145,3.8393043184767106,16.979982625223336,-7.061079277630703,-2.9723443593894388,739,738
740,A,C,E,H,J,C,F,A,D,J,A,D,J,A,D,H,L,R,H,L,S,0.11834219271827309,0.006278920651297555,1.0080286296057066,1.9985084191602687,3.0536469745610875,0.9987312019880383,0.7795072186581021,9.626973774288643,0.9115703188274232,-24.20078544703051,-24.623414941121403,740,739
741,B,D,E,H,J,A,D,A,D,J,A,D,J,B,E,H,L,R,H,L,S,-0.2700142528156494,0.0001225380744899694,5.000532175461316,9.996527154295327,0.950699404684737,1.8896025853915386,3.736862122155292,0.9812454708292159,4.094073990998373,-14.591182968276788,-9.62060313454349,741,740
742,A,C,E,H,J,B,E,A,D,J,A,D,J,C,F,H,L,R,H,L,S,0.09932725042260071,0.036387641487835916,1.0007002487168413,1.9911020224036888,2.0135979215694357,3.1464304279762896,0.6682291846371978,4.365594080967784,9.639996979550693,-5.834731847058378,-5.943543348661917,742,741
743,B,D,E,H,J,C,F,A,D,J,A,D,J,D,G,H,L,R,H,L,S,-0.01840104397318273,0.022997847440229358,4.9973614654862955,10.017259773032885,3.0397049001212206,3.888541994966695,4.437188387648739,9.203758632190128,15.930817643299138,-18.79502144563042,-34.86213639107463,743,742
744,A,C,E,H,J,A,D,A,D,J,A,D,J,A,D,H,L,R,H,L,S,0.0252374503855546,0.0017235916258637174,0.9890714948472835,2.0179807877548255,1.0315463575234376,1.099364773785302,1.0264094421047802,1.0720707827255551,1.0275292583270454,-14.051873404024459,-1.6306590176793918,744,743
745,B,D,E,H,J,B,E,A,D,J,A,D,J,B,E,H,L,R,H,L,S,-0.0635025659187723,0.01511250570191386,5.004283457562574,9.991268197088669,1.9635514618960492,1.8164177538608872,3.9338898942089093,4.6448542459932725,3.54737376903645,9.689027683363964,-7.2550112160011455,745,745
746,A,C,E,H,J,C,F,A,D,J,A,D,J,C,F,H,L,R,H,L,S,-0.0258582139946986,0.038184530594263945,0.9952550264211857,1.9974700052465892,3.1249368859901168,2.889874823785386,1.1715012989465183,9.615258273422462,9.546271561328137,1.8747232557406601,-30.77591468876898,746,746
747,B,D,E,H,J,A,D,A,D,J,A,D,J,D,G,H,L,R,H,L,S,0.14999375858476724,0.000899924806710044,4.989886283757266,10.00161875482798,1.0909695302509739,3.9386551928101388,3.3432924459463518,0.7002261970760795,14.687105246716703,-16.493179515534624,17.95829908031621,747,747
748,A,C,E,H,J,B,E,A,D,J,A,D,J,A,D,H,L,R,H,L,S,0.03966123302060399,0.007863603634376246,0.9997541573896364,2.006994670980266,1.9732139110950067,1.0877215478728783,1.1741047592530331,4.345923067481942,0.793286883703388,-0.618555307894443,-39.30946007641237,748,748
749,B,D,E,H,J,C,F,A,D,J,A,D,J,B,E,H,L,R,H,L,S,0.18936168933473718,0.002398806119640216,4.997299592964889,10.003012401541737,2.994798149089553,2.0977811837554534,4.421974044025139,9.487738168105386,3.687825783920436,6.597879505048439,-55.17244482409234,749,748
750,A,C,E,H,J,A,D,A,D,J,A,D,J,C,F,H,L,R,H,L,S,0.022605097235818064,0.012563357008731743,1.0055035933529093,1.987639705615088,1.0620859661272155,3.0521110441606494,0.9320922247515241,1.6228469746173722,9.531016506836034,-18.34735115572436,-58.69715260721009,750,749
751,B,D,E,H,J,B,E,A,D,J,A,D,J,D,G,H,L,R,H,L,S,-0.048299375067755,7.822638210318149e-05,4.997171367256389,9.971163403343414,1.971520451719724,3.9085699295187566,3.6243916561991814,3.6895628778305345,16.262020044338364,-4.59150043838963,-28.660119063062652,751,750
752,A,C,E,H,J,C,F,A,D,J,A,D,J,A,D,H,L,R,H,L,S,-0.013493581793999416,0.0010776988019965048,0.9851485983173993,2.01212858636555,2.9730840875202196,1.0372147247818808,0.6114063418932345,8.158024057684662,1.0164367660090667,-29.085388054421582,-11.788730392241183,752,752
753,B,D,E,H,J,A,D,A,D,J,A,D,J,B,E,H,L,R,H,L,S,0.12118980687403298,0.011636065272450051,4.985505550818515,9.99984800050739,1.089888572590208,2.1257196950202233,4.731572840229197,0.867149766008476,4.4318793319257495,-8.340150836079758,-52.9290525989142,753,752
754,A,C,E,H,J,B,E,A,D,J,A,D,J,C,F,H,L,R,H,L,S,0.03200237320491149,0.0039702544277722615,0.990456786896335,1.999110346426152,2.150453644133102,2.95467194037542,0.7914801872673026,4.171579849285915,8.806043219790311,-15.72026336582654,-46.98550511840453,754,754
755,B,D,E,H,J,C,F,A,D,J,A,D,J,D,G,H,L,R,H,L,S,-0.11039233144326331,0.03524943055709284,5.009254348010477,10.01226713754339,3.014353745232856,4.217492608281027,3.4145788775556074,8.379350645899354,15.094462399689396,-4.495962588738069,18.968223922090417,755,754
756,A,C,E,H,J,A,D,A,D,J,A,D,J,A,D,H,L,R,H,L,S,-0.036788933324667976,0.0034376354022465586,1.0028172241447768,2.0129028252957433,0.9945598330630017,0.9206373938184098,0.9465807828194517,0.9675782733261776,0.8732687876812801,-15.175647762417169,-37.82728380149888,756,756
757,B,D,E,H,J,B,E,A,D,J,A,D,J,B,E,H,L,R,H,L,S,0.025820526347624065,0.006148507843060564,4.989317744869736,9.994284931040658,2.0077973467487893,2.0431060024461725,4.283897610827265,4.181954585630907,4.228748187452263,-13.515789142178047,1.0306195743003919,757,756
758,A,C,E,H,J,C,F,A,D,J,A,D,J,C,F,H,L,R,H,L,S,-0.08277559615067334,0.0008039327297318942,0.9948270591494752,1.9956716680845623,2.950090245756933,3.107087081325368,1.1214946169370776,8.911336161522796,9.220598872305805,-8.458285746759877,-2.869953131782715,758,758
759,B,D,E,H,J,A,D,A,D,J,A,D,J,D,G,H,L,R,H,L,S,0.08578895492802478,0.017736614863042628,4.9861586477176445,10.004581252029086,1.06983011659258,4.110230420348791,3.714154795390613,1.3180393775483474,17.107745338832142,-3.0524434873601436,-18.524957550843254,759,759
760,A,C,E,H,J,B,E,A,D,J,A,D,J,A,D,H,L,R,H,L,S,-0.04470095862417595,0.001559662904685055,0.9878146445418441,1.9929432815564636,2.0788438216192415,1.0386598976302097,1.2574830162458623,3.839714703864997,0.8123305025070744,-6.314279185562126,-8.682750589316326,760,759
761,B,D,E,H,J,C,F,A,D,J,A,D,J,B,E,H,L,R,H,L,S,-0.04158431916627266,0.0009203149478875024,5.017948064908012,10.00269285511097,3.1682170429737204,2.032940230254858,3.228151673021311,7.4537069676222245,3.848137379748862,3.5561652455611092,-7.3814782272837665,761,761
762,A,C,E,H,J,A,D,A,D,J,A,D,J,C,F,H,L,R,H,L,S,-0.006517508626165097,0.005690366429499931,0.9943470854570772,1.9972923184261748,0.9982782236762849,3.1238875008613096,0.9920922847332571,0.9192738989503886,9.593575462870396,-11.383578604359888,-29.951299928234647,762,762
763,B,D,E,H,J,B,E,A,D,J,A,D,J,D,G,H,L,R,H,L,S,-0.02634555353061028,0.006511758970777676,5.000083909904254,9.99318784752133,1.918830786096532,4.021113988080942,4.351088335854505,4.487196428064689,17.31645249559175,-9.996907499421852,4.7229735446808405,763,762
764,A,C,E,H,J,C,F,A,D,J,A,D,J,A,D,H,L,R,H,L,S,-0.15929424666472167,0.0009302557831302827,1.0167005163740594,2.0022129578575076,2.944763473811535,1.0097711962581826,1.1429757189114385,8.969148806100224,1.345384909110954,-3.714009841623378,-7.415309055766047,764,764
765,B,D,E,H,J,A,D,A,D,J,A,D,J,B,E,H,L,R,H,L,S,0.04621379012162511,0.008812086231427764,4.996918435238723,9.99679578588692,1.065639089559688,1.999518894836083,3.933918498456078,0.9134984541024299,4.415689915230828,-26.311428422378707,-45.58407759600138,765,764
766,A,C,E,H,J,B,E,A,D,J,A,D,J,C,F,H,L,R,H,L,S,-0.1370131191354357,0.0009368616993094603,1.0046485589507763,1.9846911770988536,1.9609521850209168,3.103955883557517,1.1186095849799342,4.049819475605555,8.071971187104506,-3.3956434944418676,15.107058569342556,766,766
767,B,D,E,H,J,C,F,A,D,J,A,D,J,D,G,H,L,R,H,L,S,-0.022234172336102143,0.017013014783643535,5.0020635120496815,10.009535047958394,3.0769028958417994,4.081723720383419,3.7563244783166865,8.476673021304103,14.52917594344981,-11.030250515154629,-25.332553486392314,767,766
768,A,C,E,H,J,A,D,A,D,J,A,D,J,A,D,H,L,R,H,L,S,-0.01772271896650136,0.0009271401302572575,1.0093791840648545,1.992158553403963,0.9079310318921567,1.034058729403446,1.0411644759785632,1.802527800875436,0.7637346131023949,-6.612184064870406,-60.68631526637789,768,768
769,B,D,E,H,J,B,E,A,D,J,A,D,J,B,E,H,L,R,H,L,S,-0.008375248522859391,0.004881547729664052,4.98825596327172,10.003559680956679,2.0639912787244796,1.9452187533759229,3.33223571995571,4.114282902926001,4.164244447355121,-17.71764475205687,2.2615689002795314,769,768
770,A,C,E,H,J,C,F,A,D,J,A,D,J,C,F,H,L,R,H,L,S,0.11271943729012386,0.0032683691009428428,1.0108105952915547,2.021398705460231,3.0324210556881956,2.9679517333111467,1.2910277313282634,9.08087532020258,9.443959366384549,-14.05415596891731,-38.69776963494519,770,770
771,B,D,E,H,J,A,D,A,D,J,A,D,J,D,G,H,L,R,H,L,S,-0.10852876281819712,0.006071871384907935,5.018415735290571,9.99553020224798,0.8637143042767825,4.004665796363286,3.6038668497463773,0.7891698779190824,13.246732164984001,-4.712401770256568,3.0574088626910587,771,771
772,A,C,E,H,J,B,E,A,D,J,A,D,J,A,D,H,L,R,H,L,S,-0.001190848313996424,0.024082951056050683,1.0090794736741344,1.9980143700140889,2.0384840799323243,1.1494632106217526,1.413536679723663,3.873022042732168,0.9787755344386574,-14.03803817015961,-6.868522476712242,772,771
773,B,D,E,H,J,C,F,A,D,J,A,D,J,B,E,H,L,R,H,L,S,-0.04705076409791026,0.009404461200206916,4.984491522066232,10.00294644037952,2.954626918097672,1.8146735871692607,4.168566354838777,8.134400116755065,3.7161873763777153,4.2876977641823455,-17.741564327401235,773,773
774,A,C,E,H,J,A,D,A,D,J,A,D,J,C,F,H,L,R,H,L,S,-0.0021918768802904557,0.0011716250027215243,1.0157375171026326,2.0029985908615204,1.1074997643294384,2.9719825889351688,0.8053275788077786,1.3843751273641278,8.905559077285295,-25.82665523598864,29.788757090253306,774,774
775,B,D,E,H,J,B,E,A,D,J,A,D,J,D,G,H,L,R,H,L,S,-0.1671351211246186,0.0005040683471940003,4.994139264924557,9.997773325492386,1.974060485488164,4.052029444293291,3.9114919862237825,4.47103174733009,15.659041340839467,-0.1349720869377773,-0.9037971162883629,775,775
776,A,C,E,H,J,C,F,A,D,J,A,D,J,A,D,H,L,R,H,L,S,0.01709362774604749,0.0044975827626507646,1.0062580846917635,1.9909922365461614,3.06719046905412,0.8830300110779885,0.7471064932767006,8.681513484627551,0.992877532255918,-18.840226318937496,-10.602289222208348,776,776
777,B,D,E,H,J,A,D,A,D,J,A,D,J,B,E,H,L,R,H,L,S,-0.03465841243014012,4.7878645347263047e-05,4.988584767166461,9.99123189526931,1.0307400375689026,1.8747899481857686,3.907868359693244,1.3129273454105677,3.624832748599309,-8.812126821670214,-24.622510209240193,777,776
778,A,C,E,H,J,B,E,A,D,J,A,D,J,C,F,H,L,R,H,L,S,0.055500225937023286,0.0020100931012778894,0.9961534563478971,2.01534453163258,2.0811657663369716,3.009220104907297,0.8815925963644108,4.300537289523214,8.269602499873708,14.727406799720324,4.17973639011846,778,777
779,B,D,E,H,J,C,F,A,D,J,A,D,J,D,G,H,L,R,H,L,S,-0.08677042981759235,0.05883905978284299,5.0124525501138795,9.999593968454686,3.0108740656532413,4.006063634152178,3.3845939562938123,9.166783199938571,15.30720223853361,-6.3440691480415,-19.385128598345702,779,778
780,A,C,E,H,J,A,D,A,D,J,A,D,J,A,D,H,L,R,H,L,S,0.04437513940324795,0.07805334882678916,0.9781775009215476,2.0040131280480598,1.1042047884272146,1.0454914660250982,1.1053351315921174,0.9132045745439127,1.1529037752004347,-14.74356171173495,12.56158732674757,780,779
781,B,D,E,H,J,B,E,A,D,J,A,D,J,B,E,H,L,R,H,L,S,-0.10661500543150121,0.0016641674290135426,4.996213961841013,10.001382367647023,2.027785757449372,2.0131472616427004,4.272173346112508,4.153180464480709,3.6575469981555386,-17.371206017571186,-24.4975824620438,781,781
782,A,C,E,H,J,C,F,A,D,J,A,D,J,C,F,H,L,R,H,L,S,0.05662561721799139,0.008875328568697608,0.9989138323700573,1.9972758094981662,3.1365091607545867,2.98522276857111,0.9596512922576187,9.553623836428953,9.621113619383364,-10.104261078135936,-30.234888498367265,782,782
783,B,D,E,H,J,A,D,A,D,J,A,D,J,D,G,H,L,R,H,L,S,-0.09981145480677521,0.008837251098040221,5.017788203498597,9.98959979862819,1.006448887497047,3.937500463040141,3.7069411653465942,0.8919567769822551,15.312211386260465,-19.62684651832155,33.13510996281054,783,783
784,A,C,E,H,J,B,E,A,D,J,A,D,J,A,D,H,L,R,H,L,S,0.04289959510032895,1.8422470458626846e-05,1.0054041334881945,1.999901506689673,2.068663377658674,0.9748955503416225,1.0642762105739663,4.001015541487707,0.8108166201161844,0.9734979760358691,-21.022619950168682,784,783
785,B,D,E,H,J,C,F,A,D,J,A,D,J,B,E,H,L,R,H,L,S,-0.1803379066674239,0.0029725700664079485,4.996291590625805,9.994087872628398,3.168289503094912,1.89873417579904,3.8367371367050502,8.99157502382484,3.742242040723953,-5.6202785242157285,-1.4566406865050467,785,784
786,A,C,E,H,J,A,D,A,D,J,A,D,J,C,F,H,L,R,H,L,S,0.12113306049153257,0.013972607130045306,1.005893439474212,2.005887814296141,0.9301283282454548,2.943911072631118,0.676968954193634,1.0427140055411313,7.872932195672156,-11.685811314907767,-29.7852783886337,786,785
787,B,D,E,H,J,B,E,A,D,J,A,D,J,D,G,H,L,R,H,L,S,-0.20098177279844487,0.03089478182347102,5.0022481904336145,10.000649012248768,2.1725177758728034,3.947427403613763,4.82947902642314,4.193878023222351,15.36161163753891,-33.0973276643079,-15.83880951881692,787,786
788,A,C,E,H,J,C,F,A,D,J,A,D,J,A,D,H,L,R,H,L,S,0.04869098694129548,0.0035971084083694692,1.0000812793986966,2.0053372298744843,2.95905934790594,0.9658059920469886,1.3344348902754881,9.441097911605118,0.7514440968726191,-9.781655091792024,-29.883811360405787,788,787
789,B,D,E,H,J,A,D,A,D,J,A,D,J,B,E,H,L,R,H,L,S,0.19826902713046726,0.006640507075417647,5.009563031176846,10.001541710757081,1.0384684061339347,2.050489140731586,4.38604491060971,0.7481185191358544,4.3407959247082255,-11.772524402648694,-11.03770385505369,789,789
790,A,C,E,H,J,B,E,A,D,J,A,D,J,C,F,H,L,R,H,L,S,0.12727756320572792,0.02738089671762156,0.9917204329736569,2.003106360275757,2.022516115049647,2.9588251792852396,1.0494227801580625,4.359700690435578,9.760004169026399,-8.374199992976752,-12.310717727936515,790,790
791,B,D,E,H,J,C,F,A,D,J,A,D,J,D,G,H,L,R,H,L,S,0.16836460411213344,0.0023990914456587004,4.995131758414646,10.003639874414423,2.9687792362615513,3.956282408141639,3.2376181011096232,8.39544798164702,14.88592763548278,-3.468979334129367,-7.804541636261151,791,790
792,A,C,E,H,J,A,D,A,D,J,A,D,J,A,D,H,L,R,H,L,S,0.06851405025215229,0.000526552556251523,1.0061018672666493,2.0062789696952397,0.9834077792932767,1.1012771331953977,1.2435359235530417,0.9798201979985066,1.0510044353516599,-0.5472039027740667,-26.481810636143724,792,791
793,B,D,E,H,J,B,E,A,D,J,A,D,J,B,E,H,L,R,H,L,S,0.02796823807411465,0.013287149760996783,4.994572969665341,10.00894226679623,2.0717472998866584,1.998086433411429,4.48465209577027,3.777348289239395,4.282884760706762,-27.94333077721822,-2.3965139089263836,793,792
794,A,C,E,H,J,C,F,A,D,J,A,D,J,C,F,H,L,R,H,L,S,-0.08331617913211553,0.0070710119824358925,0.997320107921197,1.9771380902499855,3.052198002062585,2.8758324227746366,1.1693745084474008,8.103509645540898,9.204824715360008,-1.491837923747557,-14.402649943829942,794,794
795,B,D,E,H,J,A,D,A,D,J,A,D,J,D,G,H,L,R,H,L,S,-0.0022266296336907227,0.015493358973567581,4.990102016749632,10.007831796826343,1.1514124033336397,3.8568372592822597,4.021969533264115,0.9846193382088935,15.27073456561593,-9.692600696043597,2.685949626197889,795,794
796,A,C,E,H,J,B,E,A,D,J,A,D,J,A,D,H,L,R,H,L,S,0.034594613283776304,0.008977706553053008,1.022600511716599,2.0051428832701292,1.965663316304843,1.3375996193626694,0.7247718654761298,3.589524272584731,1.2362250882285573,-14.880652059203596,-4.188208904349063,796,796
