Binary Balanced 1,Binary Balanced 2,Binary Extreme 1a,Binary Extreme 1b,Binary Extreme 2,Trinary Balanced 1,Trinary Balanced 2,Trinary Skewed 1a,Trinary Skewed 1b,Trinary Skewed 2,Trinary Extreme 1a,Trinary Extreme 1b,Trinary Extreme 2,Quaternary Balanced 1,Quaternary Balanced 2,Quaternary Skewed 1a,Quaternary Skewed 1b,Quaternary Skewed 2,Quaternary Extreme 1a,Quaternary Extreme 1b,Quaternary Extreme 2,Continuous Normal,Continuous Skewed,Continuous Binary Normal 1,Continuous Binary Normal 2,Continuous Trinary Normal,Continuous Quaternary Normal,Continuous Binary Skewed,Continuous Trinary Skewed,Continuous Quaternary Skewed,Unary 1,Unary 2,Correlated 1,Correlated 2
B,D,E,H,J,C,F,A,D,I,A,D,J,D,G,H,L,R,H,L,S,0.008942505,0.001382662,4.993470171,10.00976087,3.027978699,4.122293944,4.025303795,8.510822282,15.51900755,-13.45512774,-5.621631281,515,515
A,C,E,H,J,A,D,A,D,I,A,D,J,A,D,H,L,R,H,L,S,0.217227005,0.00242521,0.996435591,2.028569822,1.068339316,1.09648669,1.289435666,1.070887455,0.686517736,15.14654382,-31.58974762,516,516
B,D,E,H,J,B,E,A,D,I,A,D,J,B,E,H,L,R,H,L,S,0.010639948,0.007076881,4.99869553,9.997423212,1.988508425,2.105474442,3.649644078,4.071933878,4.06112187,-7.769106905,-55.10968542,517,517
A,C,E,H,J,C,F,A,D,I,A,D,J,C,F,H,L,R,H,L,S,0.093299922,0.004548456,0.987726618,1.996799335,3.030389468,2.950191387,0.995142805,8.70059767,9.288626773,-16.87674651,-56.62091589,518,517
B,D,E,H,J,A,D,A,D,I,A,D,J,D,G,H,L,R,H,L,S,-0.110133828,0.011037902,4.992143653,9.998733775,0.928150755,3.956686897,3.64366103,0.904423584,16.63268917,-5.539006898,-20.93132572,519,518
A,C,E,H,J,B,E,A,D,I,A,D,J,A,D,H,L,R,H,L,S,0.024684836,0.004763993,1.001200801,2.004341865,2.163562653,0.933361841,1.403559483,3.810505402,1.302740702,-20.62096731,-26.604425,520,520
B,D,E,H,J,C,F,A,D,I,A,D,J,B,E,H,L,R,H,L,S,0.026326133,0.005646235,4.997510078,9.991710348,2.845724087,1.966590586,3.78207876,8.387067801,3.82669656,-2.577157118,2.013669643,521,521
A,C,E,H,J,A,D,A,D,I,A,D,J,C,F,H,L,R,H,L,S,-0.158929151,0.000826363,0.997258208,1.988448078,1.058070197,2.945678694,0.908786646,0.742207954,8.660248069,-16.58519442,-12.56676168,522,521
B,D,E,H,J,B,E,A,D,I,A,D,J,D,G,H,L,R,H,L,S,-0.027656733,0.000494474,5.015613966,9.996533018,1.965853156,3.90847033,4.301766331,3.816282001,16.7138496,-15.77363163,-16.39405495,523,522
A,C,E,H,J,C,F,A,D,I,A,D,J,A,D,H,L,R,H,L,S,-0.291120025,0.019909799,0.98567409,1.992417729,3.014546043,1.004566284,0.721151905,9.778510955,1.441420402,-12.99672214,-14.17438476,524,523
B,D,E,H,J,A,D,A,D,I,A,D,J,B,E,H,L,R,H,L,S,0.004806872,0.00574758,5.006867864,10.00125364,0.870381237,1.941918701,4.207322926,1.10837011,4.046898949,-14.10677314,-4.708049099,525,524
A,C,E,H,J,B,E,A,D,I,A,D,J,C,F,H,L,R,H,L,S,-0.132079497,0.00052722,1.010536574,1.986963671,1.999206869,2.864010436,1.111686117,3.744009038,8.602337995,-7.561399654,-5.257776124,526,525
B,D,E,H,J,C,F,A,D,I,A,D,J,D,G,H,L,R,H,L,S,0.065789022,0.00647675,5.019805419,9.992632481,3.093799382,4.080094264,4.108411329,9.705849642,15.98116466,2.16878393,-6.347303711,527,526
A,C,E,H,J,A,D,A,D,I,A,D,J,A,D,H,L,R,H,L,S,0.086755986,0.000725938,0.995886118,2.002803658,1.033192953,1.109238425,1.444150774,1.391711972,1.116587373,-14.55788219,-47.17845451,528,528
B,D,E,H,J,B,E,A,D,I,A,D,J,B,E,H,L,R,H,L,S,0.061931593,0.009460452,4.97784213,10.00716222,2.033929161,1.899872046,3.772192334,4.289769331,4.021151306,-20.96751435,8.141207154,529,529
A,C,E,H,J,C,F,A,D,I,A,D,J,C,F,H,L,R,H,L,S,-0.147593639,2.04E-06,0.993414256,1.98585087,2.978289119,2.970737575,1.216706775,9.05913552,9.614916164,-23.88239798,2.368983134,530,529
B,D,E,H,J,A,D,A,D,I,A,D,J,D,G,H,L,R,H,L,S,-0.078662925,0.005596262,5.011845912,9.990431534,1.035567735,3.940283689,4.5372347,1.137438927,16.29414517,12.97710436,-7.392768086,531,530
A,C,E,H,J,B,E,A,D,I,A,D,J,A,D,H,L,R,H,L,S,-0.106947966,0.001217202,1.00459284,1.984337061,1.887025513,1.152615726,1.181545259,3.681845311,0.9229072,-11.60625366,-27.84657606,532,532
B,D,E,H,J,C,F,A,D,I,A,D,J,B,E,H,L,R,H,L,S,0.138671254,0.002085732,5.011088385,10.01700563,3.036638283,2.127921175,4.108698886,8.829762383,3.536230621,1.914934908,-28.0890973,533,533
A,C,E,H,J,A,D,A,D,I,A,D,J,C,F,H,L,R,H,L,S,0.04884187,0.055438051,0.992861959,2.01400481,0.934877486,2.861156215,1.015689185,1.379539326,8.736105088,-3.506813233,-5.289176285,534,533
B,D,E,H,J,B,E,A,D,I,A,D,J,D,G,H,L,R,H,L,S,0.019195292,0.000966605,4.995111121,9.999961163,2.00622382,4.040230713,3.672015644,4.088137263,15.53705401,-3.556164393,-4.664822077,535,535
A,C,E,H,J,C,F,A,D,I,A,D,J,A,D,H,L,R,H,L,S,-0.018270473,0.007800372,0.984671507,1.994985473,2.961433793,0.977740267,1.041051035,8.692166537,0.939013842,-20.14343963,-20.17598736,536,536
B,D,E,H,J,A,D,A,D,I,A,D,J,B,E,H,L,R,H,L,S,0.140459012,0.00595797,4.998734316,10.00269533,0.869186733,1.868912236,4.621451427,0.829961325,3.213133949,-13.55560776,3.770430616,537,537
A,C,E,H,J,B,E,A,D,I,A,D,J,C,F,H,L,R,H,L,S,0.114698388,0.021266894,1.006196543,1.990533614,2.046722337,2.8488068,1.183164644,4.181001523,8.326814123,14.24485507,-22.75855967,538,537
B,D,E,H,J,C,F,A,D,I,A,D,J,D,G,H,L,R,H,L,S,0.095606488,1.75E-07,5.001554064,10.00571513,2.890613661,4.016047912,4.235630459,8.390608152,16.04618663,1.758555492,-11.85187348,539,538
A,C,E,H,J,A,D,A,D,I,A,D,J,A,D,H,L,R,H,L,S,0.01714064,0.018476354,0.994473325,2.00359599,0.971534839,1.189918985,1.022859776,1.035264363,1.103446349,-20.59458352,-12.30666458,540,540
B,D,E,H,J,B,E,A,D,I,A,D,J,B,E,H,L,R,H,L,S,0.13726235,0.001662627,5.003399656,10.00670701,1.884767013,1.929152549,2.986078387,4.861513623,4.357118319,-4.282772921,-29.83600938,541,541
A,C,E,H,J,C,F,A,D,I,A,D,J,C,F,H,L,R,H,L,S,-0.193735578,5.13E-05,0.993186447,1.999950598,3.027429586,3.010498806,0.677027366,9.360532382,9.545781879,13.33223861,-39.83614113,542,541
B,D,E,H,J,A,D,A,D,I,A,D,J,D,G,H,L,R,H,L,S,0.005053562,8.73E-05,5.003296985,9.994709116,1.143790147,4.034785569,3.959802777,0.969939403,15.26870213,-24.71429653,-11.4942137,543,543
A,C,E,H,J,B,E,A,D,I,A,D,J,A,D,H,L,R,H,L,S,0.010760204,0.001669783,1.009707314,2.012270525,1.969248662,0.945253345,0.793486108,3.756368023,1.154527888,2.118090496,-20.97355641,544,543
B,D,E,H,J,C,F,A,D,I,A,D,J,B,E,H,L,R,H,L,S,-0.034774958,6.94E-05,4.994086583,10.00880889,2.883560358,1.998607387,4.193277205,9.106300678,3.319653641,-9.2190773,0.637984455,545,544
A,C,E,H,J,A,D,A,D,I,A,D,J,C,F,H,L,R,H,L,S,0.052604154,0.007089747,1.001780255,1.999958183,1.162901977,2.942159593,0.708857849,0.766450118,8.125022038,-9.896078913,15.78853957,546,546
B,D,E,H,J,B,E,A,D,I,A,D,J,D,G,H,L,R,H,L,S,-0.182962748,0.024090811,5.006493302,9.992680533,1.95968735,4.107265831,4.013155392,3.538130479,16.66591301,-17.61133105,-20.28163703,547,547
A,C,E,H,J,C,F,A,D,I,A,D,J,A,D,H,L,R,H,L,S,-0.070851682,0.001482052,1.001425183,2.000103381,2.878333262,1.088590047,1.037111838,10.64564807,0.872247777,-11.37347788,-22.95031062,548,548
B,D,E,H,J,A,D,A,D,I,A,D,J,B,E,H,L,R,H,L,S,-0.028551792,0.004483278,4.999867241,9.98213931,1.055293513,2.217669309,3.691912243,1.104003735,4.285414366,-17.14670143,-15.89565341,549,548
A,C,E,H,J,B,E,A,D,I,A,D,J,C,F,H,L,R,H,L,S,0.147923732,0.008430543,1.004691187,2.034342847,1.948862195,2.981368034,1.146340244,4.243438018,8.913050111,-15.15253786,-29.92332707,550,550
B,D,E,H,J,C,F,A,D,I,A,D,J,D,G,H,L,R,H,L,S,0.001208544,0.009789071,4.991345619,9.993489445,2.872736281,4.177891669,3.633814865,8.329256462,16.38142421,-11.99888335,-33.24517877,551,550
A,C,E,H,J,A,D,A,D,I,A,D,J,A,D,H,L,R,H,L,S,0.03185239,0.005634399,0.987622309,2.01005696,0.918087966,0.838737132,0.61740199,1.000131805,0.853416667,-1.119355056,-32.03847179,552,551
B,D,E,H,J,B,E,A,D,I,A,D,J,B,E,H,L,R,H,L,S,0.016929265,2.73E-06,5.005316302,9.985642101,2.061619653,1.988469643,4.311406793,3.869593717,4.221866968,-3.496943013,-15.37871706,553,553
A,C,E,H,J,C,F,A,D,I,A,D,J,C,F,H,L,R,H,L,S,-0.056308136,6.28E-05,1.000190601,2.007878187,3.040950625,3.061801367,1.145541998,8.731272293,9.177721116,8.805761559,-44.31194672,554,554
B,D,E,H,J,A,D,A,D,I,A,D,J,D,G,H,L,R,H,L,S,-0.029777171,0.001354694,4.993662171,9.993460831,0.94280899,3.859325842,3.789116371,1.04349005,14.63491767,-3.260768254,-12.39895824,555,555
A,C,E,H,J,B,E,A,D,I,A,D,J,A,D,H,L,R,H,L,S,0.254039503,0.003641233,0.994860702,2.00339445,1.881528612,0.899362835,1.138709005,4.473680615,1.070500646,-8.108563099,13.39107999,556,556
B,D,E,H,J,C,F,A,D,I,A,D,J,B,E,H,L,R,H,L,S,0.222211759,0.000313167,4.99006658,9.994142898,2.960770411,1.879835455,3.959947666,8.733631499,4.151929672,-22.06460293,-8.26736507,557,556
A,C,E,H,J,A,D,A,D,I,A,D,J,C,F,H,L,R,H,L,S,0.011740269,0.024727993,0.995961149,2.009963669,0.955394241,2.98240953,0.967922333,1.1698277,9.426132344,-33.8919924,-27.05549698,558,558
B,D,E,H,J,B,E,A,D,I,A,D,J,D,G,H,L,R,H,L,S,0.003683779,0.029160774,4.998135014,9.988381796,1.979959084,4.016001745,4.038527529,4.654573723,14.68029387,-6.030989587,29.70960067,559,559
A,C,E,H,J,C,F,A,D,I,A,D,J,A,D,H,L,R,H,L,S,-0.132625924,0.010193839,1.001287063,2.010089745,2.896764439,0.996288675,1.245848277,10.15775771,0.873391986,-14.1802435,-7.701231931,560,560
B,D,E,H,J,A,D,A,D,I,A,D,J,B,E,H,L,R,H,L,S,-0.02797723,0.000366604,4.997346508,9.998491444,1.173936995,1.936723047,4.084245909,0.991450466,4.234610835,-6.438265179,-31.47920078,561,560
A,C,E,H,J,B,E,A,D,I,A,D,J,C,F,H,L,R,H,L,S,-0.128304823,0.000985439,0.995427876,2.002720442,1.952084665,3.045027656,0.931377587,4.346547385,8.790167147,-5.195400854,-13.70217103,562,561
B,D,E,H,J,C,F,A,D,I,A,D,J,D,G,H,L,R,H,L,S,-0.177184391,0.005913786,5.000627667,10.01520818,2.989875692,3.838701805,3.929930272,9.452562814,14.46181309,-25.31382494,-49.50293557,563,563
A,C,E,H,J,A,D,A,D,I,A,D,J,A,D,H,L,R,H,L,S,-0.079639752,0.002757258,1.004779241,1.992836284,1.044151773,0.962998692,1.280620235,1.287575173,0.944413316,-8.412931596,-19.15957202,564,564
B,D,E,H,J,B,E,A,D,I,A,D,J,B,E,H,L,R,H,L,S,0.072941831,0.038055597,5.00290645,10.0035354,2.043066435,1.944584356,3.980686955,4.42970425,4.24970617,7.325336949,-40.25444447,565,564
A,C,E,H,J,C,F,A,D,I,A,D,J,C,F,H,L,R,H,L,S,0.194814665,0.000332707,1.002557288,2.000250962,3.115479978,3.028513659,0.937525568,9.063969846,9.803503616,2.734953404,-22.02423361,566,565
B,D,E,H,J,A,D,A,D,I,A,D,J,D,G,H,L,R,H,L,S,0.086929942,0.000664596,4.992357895,9.970433712,0.964006264,3.943847793,3.591988368,1.303084412,17.26826017,-8.280543229,-18.33486976,567,567
A,C,E,H,J,B,E,A,D,I,A,D,J,A,D,H,L,R,H,L,S,0.067162883,1.94E-05,1.004976055,1.989916711,2.082680264,0.973875709,1.082563477,3.418026135,0.868943217,-9.081088604,16.57904192,568,567
B,D,E,H,J,C,F,A,D,I,A,D,J,B,E,H,L,R,H,L,S,-0.003631479,0.004655758,5.004524959,10.0040379,3.111042259,1.981226297,3.26377703,8.439089871,4.324229054,-8.650041694,-6.075455801,569,568
A,C,E,H,J,A,D,A,D,I,A,D,J,C,F,H,L,R,H,L,S,-0.000560889,0.023834447,1.000672071,2.005405737,0.804341855,3.10352,1.271364875,0.998610111,9.252863425,-23.62883204,-19.45922311,570,570
B,D,E,H,J,B,E,A,D,I,A,D,J,D,G,H,L,R,H,L,S,0.001113267,0.008519833,5.003158539,10.00882792,2.195585108,3.994263009,4.718828429,3.440463496,14.92697319,11.52742417,-7.93932536,571,570
A,C,E,H,J,C,F,A,D,I,A,D,J,A,D,H,L,R,H,L,S,-0.083763737,0.000536128,0.988046954,2.003311167,3.135568569,0.936224021,1.348162909,9.424030115,1.123590236,-7.074875367,2.15626766,572,571
B,D,E,H,J,A,D,A,D,I,A,D,J,B,E,H,L,R,H,L,S,0.077932197,0.040737886,5.020165431,9.994168174,1.005880248,2.073422194,3.797221065,1.092844101,3.283789257,-15.96851114,-12.17631289,573,572
A,C,E,H,J,B,E,A,D,I,A,D,J,C,F,H,L,R,H,L,S,-0.049286333,0.001765308,1.006745969,1.990146785,1.989800737,3.009029522,1.091533904,4.200277342,8.443417649,-15.87580751,-5.398540889,574,573
B,D,E,H,J,C,F,A,D,I,A,D,J,D,G,H,L,R,H,L,S,0.068737754,0.013098883,5.015516282,10.02833539,2.781827393,3.909174988,4.511472073,9.272639845,16.84454483,1.432992948,-15.01876413,575,575
A,C,E,H,J,A,D,A,D,I,A,D,J,A,D,H,L,R,H,L,S,-0.095528037,1.69E-05,1.00298343,1.981709591,1.105354531,1.011652776,1.0994601,1.121954965,1.522990034,-5.960979416,-21.13560576,576,576
B,D,E,H,J,B,E,A,D,I,A,D,J,B,E,H,L,R,H,L,S,0.256838067,0.015390201,5.009099319,10.00219745,2.060319599,2.002992324,4.210714422,4.186412208,4.164572747,-13.58360919,-18.99830115,577,577
A,C,E,H,J,C,F,A,D,I,A,D,J,C,F,H,L,R,H,L,S,-0.074253601,0.003852718,1.016878457,1.997643855,3.033169069,2.934432661,0.720803503,8.892898285,8.823049612,-12.7930866,29.1765876,578,578
B,D,E,H,J,A,D,A,D,I,A,D,J,D,G,H,L,R,H,L,S,0.00704935,0.011104224,4.999744873,9.993604153,0.941323802,3.763815993,3.604529808,1.132201591,15.8167414,-10.87404487,-24.05624618,579,578
A,C,E,H,J,B,E,A,D,I,A,D,J,A,D,H,L,R,H,L,S,-0.107734346,0.017582081,0.986385193,2.004954027,1.939062703,0.981258642,0.951858702,4.505034216,0.932685219,-13.37978616,-1.938368784,580,579
B,D,E,H,J,C,F,A,D,I,A,D,J,B,E,H,L,R,H,L,S,-0.049975711,0.002835177,5.009710279,9.982133739,2.869602416,1.987891211,4.252483919,8.308615783,3.015957895,-13.12930757,16.17106516,581,581
A,C,E,H,J,A,D,A,D,I,A,D,J,C,F,H,L,R,H,L,S,0.034904515,1.10E-05,1.009783305,2.005180347,1.05317338,2.935405906,1.345719229,1.735621055,7.908213444,-7.929956891,-26.36753634,582,581
B,D,E,H,J,B,E,A,D,I,A,D,J,D,G,H,L,R,H,L,S,-0.052662093,0.001825051,4.986607476,10.00108969,2.057413883,4.021580282,4.511036134,4.250885311,15.75078989,-17.80399864,-8.912741653,583,582
A,C,E,H,J,C,F,A,D,I,A,D,J,A,D,H,L,R,H,L,S,-0.111181106,0.017654479,0.986257028,1.990852541,3.084542851,1.053330595,1.12825632,8.569650434,1.014152615,-11.85205359,-23.77248897,584,583
B,D,E,H,J,A,D,A,D,I,A,D,J,B,E,H,L,R,H,L,S,0.052680183,0.001634841,4.987978351,10.00490695,1.060140304,1.849363337,4.767186235,1.01436573,3.947482706,-20.71988331,-22.45993936,585,585
A,C,E,H,J,B,E,A,D,I,A,D,J,C,F,H,L,R,H,L,S,-0.063210766,0.006715034,1.004394382,2.003513534,2.16394416,3.06387372,1.104917489,4.600310016,8.423479057,-5.223269495,10.16650544,586,585
B,D,E,H,J,C,F,A,D,I,A,D,J,D,G,H,L,R,H,L,S,0.043334356,0.003775678,4.994541432,10.0098539,2.871987539,3.786362036,3.476248608,9.64016531,16.60257951,-9.630560135,-3.050231831,587,586
A,C,E,H,J,A,D,A,D,I,A,D,J,A,D,H,L,R,H,L,S,-0.030858214,0.000179746,0.981543739,2.013146773,0.911240583,0.78962809,1.090984031,0.699027439,0.860596901,8.569141495,30.76376083,588,588
B,D,E,H,J,B,E,A,D,I,A,D,J,B,E,H,L,R,H,L,S,0.077241482,0.000216668,4.99457824,9.986950488,1.946511208,1.89479174,4.55837342,3.933564044,3.781589425,-2.604768866,-0.9266402,589,588
A,C,E,H,J,C,F,A,D,I,A,D,J,C,F,H,L,R,H,L,S,-0.029609852,0.001143422,0.991809755,1.992554192,2.891398303,3.012251103,0.928060603,9.275742399,8.647000044,-20.12113894,-29.19724931,590,590
B,D,E,H,J,A,D,A,D,I,A,D,J,D,G,H,L,R,H,L,S,0.046236637,0.001483272,5.010987331,10.00284945,0.97530038,3.99901517,3.780618836,0.874927652,15.01852415,-4.601794523,-30.08963412,591,591
A,C,E,H,J,B,E,A,D,I,A,D,J,A,D,H,L,R,H,L,S,0.148053034,0.032141809,1.002611295,2.006837855,2.100038371,1.144896697,1.097727848,4.20835962,1.039787803,-4.999605472,0.09334057,592,591
B,D,E,H,J,C,F,A,D,I,A,D,J,B,E,H,L,R,H,L,S,-0.057588203,0.000320118,5.019222176,10.00419604,2.967817974,1.978108069,3.79623946,8.796915436,3.710728994,2.792032253,-22.42296273,593,592
A,C,E,H,J,A,D,A,D,I,A,D,J,C,F,H,L,R,H,L,S,0.235748856,0.019599998,1.000056878,1.983974947,1.18743819,2.94410487,0.935957226,1.297829899,9.216772386,-19.6697713,-8.90532358,594,594
B,D,E,H,J,B,E,A,D,I,A,D,J,D,G,H,L,R,H,L,S,0.147032929,0.000664427,5.009395594,10.00570331,2.076764262,4.011716232,3.939258049,5.004340115,16.35744827,-7.568892648,-42.92311177,595,595
A,C,E,H,J,C,F,A,D,I,A,D,J,A,D,H,L,R,H,L,S,-0.212265008,0.036941124,0.987989724,1.996313096,3.071343999,1.076921986,0.767597398,8.354487259,1.181263142,-11.33874107,-28.08774679,596,596
B,D,E,H,J,A,D,A,D,I,A,D,J,B,E,H,L,R,H,L,S,0.073211104,0.002199039,4.979227817,9.985869499,0.839729929,2.24822104,4.367431534,0.869457361,4.034935528,-5.933894735,-5.48710081,597,596
A,C,E,H,J,B,E,A,D,I,A,D,J,C,F,H,L,R,H,L,S,0.036539278,0.003763031,0.999357403,1.994686991,2.156290534,3.106172897,1.115464767,3.548139728,9.311456979,-26.33108207,-30.33709507,598,597
B,D,E,H,J,C,F,A,D,I,A,D,J,D,G,H,L,R,H,L,S,-0.12588441,0.001861993,4.988226016,10.00495765,2.995297365,4.02726829,4.072899822,7.881185901,15.17918781,-12.58942098,-13.22607812,599,599
A,C,E,H,J,A,D,A,D,J,A,D,J,A,D,H,L,R,H,L,S,0.072164501,6.35E-05,0.991264044,2.002648826,1.006779311,1.091141147,0.957236865,0.944615333,1.039608703,-10.77627588,-31.77175709,600,600
B,D,E,H,J,B,E,A,D,J,A,D,J,B,E,H,L,R,H,L,S,0.072597029,2.64E-05,4.999537285,9.994435412,1.953200273,2.181688218,3.737700986,3.588931264,4.596273052,-12.62435158,-32.40580065,601,600
A,C,E,H,J,C,F,A,D,J,A,D,J,C,F,H,L,R,H,L,S,-0.074298764,0.016798901,0.994424993,2.003991171,2.940432548,2.994564344,0.74242556,8.882184784,9.832485643,-23.99527663,-10.74142105,602,602
B,D,E,H,J,A,D,A,D,J,A,D,J,D,G,H,L,R,H,L,S,0.069786543,0.001944284,5.009013705,10.00377459,0.891047613,3.996403289,3.873154051,0.982708355,16.55906827,-22.90192302,-20.72999181,603,603
A,C,E,H,J,B,E,A,D,J,A,D,J,A,D,H,L,R,H,L,S,-0.070761963,0.044533219,1.007654107,2.002025765,2.009234457,1.201083634,0.797377858,4.805667778,0.902716265,-5.350950939,-42.96106637,604,603
B,D,E,H,J,C,F,A,D,J,A,D,J,B,E,H,L,R,H,L,S,0.000576401,0.004739567,4.98744041,10.00182017,3.001443961,2.135112991,3.928248389,8.784859023,4.399357339,-28.56889961,-10.74372403,605,605
A,C,E,H,J,A,D,A,D,J,A,D,J,C,F,H,L,R,H,L,S,-0.149331139,0.000590798,0.99872264,2.002064004,1.080129994,2.845911699,0.69393925,1.37466079,8.083429694,-5.981941374,-18.25521589,606,606
B,D,E,H,J,B,E,A,D,J,A,D,J,D,G,H,L,R,H,L,S,-0.051528254,0.002536535,4.991918926,10.02005651,1.815689605,4.022041588,4.26259529,3.293874404,15.97493266,-4.904560422,0.03611619,607,606
A,C,E,H,J,C,F,A,D,J,A,D,J,A,D,H,L,R,H,L,S,-0.089214024,0.000754637,1.001793335,2.015825066,2.999160501,1.001011257,1.125403775,9.453689963,0.906834297,3.978559188,-34.60594028,608,608
B,D,E,H,J,A,D,A,D,J,A,D,J,B,E,H,L,R,H,L,S,0.034532036,0.001166059,4.997794751,9.99962605,1.04619975,1.929270964,3.225150447,1.310899271,3.283356436,-10.23355928,-17.77214935,609,608
A,C,E,H,J,B,E,A,D,J,A,D,J,C,F,H,L,R,H,L,S,-0.006048174,0.007541307,1.012108532,1.996591527,2.00729145,3.068416528,1.07091645,4.215206398,9.361372466,-8.733514437,-24.67849055,610,610
B,D,E,H,J,C,F,A,D,J,A,D,J,D,G,H,L,R,H,L,S,-0.026366142,0.002067252,5.001490986,9.985674159,2.950827051,4.047887958,3.832131026,8.797903501,16.91607289,0.886640296,-17.41440737,611,610
A,C,E,H,J,A,D,A,D,J,A,D,J,A,D,H,L,R,H,L,S,0.026223047,5.84E-06,0.990991934,2.009061132,0.993369248,0.877749674,1.113788455,0.998947381,1.083796503,15.85070913,-33.54908391,612,612
B,D,E,H,J,B,E,A,D,J,A,D,J,B,E,H,L,R,H,L,S,0.064285371,0.015663745,4.996237293,9.988967531,2.219992062,1.754303198,3.5886789,3.917248108,4.534910276,-8.240989234,-23.00267169,613,612
A,C,E,H,J,C,F,A,D,J,A,D,J,C,F,H,L,R,H,L,S,0.084361359,0.007970155,1.007015974,1.990461854,3.060563858,3.086152217,1.280226921,8.68549508,8.588382022,6.51142085,-11.04559799,614,614
B,D,E,H,J,A,D,A,D,J,A,D,J,D,G,H,L,R,H,L,S,0.004753533,0.013833035,4.984941406,9.990665679,1.124524925,4.069457325,4.572514263,1.163837236,16.22601239,-19.82062123,-23.94610615,615,614
A,C,E,H,J,B,E,A,D,J,A,D,J,A,D,H,L,R,H,L,S,0.010119994,0.001634398,1.001101131,2.017221988,1.998826337,0.893513966,1.018840674,4.080456575,0.888988653,-6.30071199,1.792806944,616,616
B,D,E,H,J,C,F,A,D,J,A,D,J,B,E,H,L,R,H,L,S,-0.0289475,0.007290587,4.994974389,10.00750641,3.034891771,1.917290538,3.839051774,8.20207739,4.178891241,-1.372066021,-18.71678289,617,616
A,C,E,H,J,A,D,A,D,J,A,D,J,C,F,H,L,R,H,L,S,-0.146240931,0.005898724,1.02083268,1.990484455,0.940759835,2.929912194,0.922681503,1.371067761,8.534731349,-12.31915327,2.9414471,618,617
B,D,E,H,J,B,E,A,D,J,A,D,J,D,G,H,L,R,H,L,S,0.082393561,0.003190727,5.012638838,10.00015176,1.989898532,3.977585993,4.310755236,4.306933152,16.96228539,-5.981818479,-28.48453457,619,618
A,C,E,H,J,C,F,A,D,J,A,D,J,A,D,H,L,R,H,L,S,-0.01767345,0.017896031,0.996987842,1.992023485,3.071130293,1.050624494,1.092811559,8.923612081,0.824723814,-14.27432102,-25.29129254,620,619
B,D,E,H,J,A,D,A,D,J,A,D,J,B,E,H,L,R,H,L,S,0.004551078,0.03648472,4.997330363,10.00685309,1.051468447,1.947653514,3.803307183,1.159583831,4.117686357,-13.60827171,-49.41284612,621,620
A,C,E,H,J,B,E,A,D,J,A,D,J,C,F,H,L,R,H,L,S,0.034337187,0.001163796,0.995725864,1.992952765,1.994067795,2.960005657,1.554131011,4.092063848,9.198715595,-10.25640042,-16.23836341,622,621
B,D,E,H,J,C,F,A,D,J,A,D,J,D,G,H,L,R,H,L,S,-0.078947613,1.68E-05,4.994128957,9.998589064,2.971436709,3.981438397,3.907595766,7.920719342,16.54466958,-1.974380542,-26.00695369,623,623
A,C,E,H,J,A,D,A,D,J,A,D,J,A,D,H,L,R,H,L,S,0.053833213,0.000878982,0.991671188,2.008701639,0.885553583,0.965135716,1.194060448,1.042433719,1.08800326,-16.69819814,-18.79275388,624,623
B,D,E,H,J,B,E,A,D,J,A,D,J,B,E,H,L,R,H,L,S,-0.123392727,0.05320935,5.008010669,9.978475309,2.10628942,2.109012939,4.379778074,4.453770761,4.672284973,-2.612451331,-23.47221717,625,625
A,C,E,H,J,C,F,A,D,J,A,D,J,C,F,H,L,R,H,L,S,0.0728149,0.004028957,0.999706876,2.012621745,3.062006178,3.205168094,1.145975853,7.938915279,8.697204282,-8.053546789,-39.65871729,626,625
B,D,E,H,J,A,D,A,D,J,A,D,J,D,G,H,L,R,H,L,S,-0.079905872,0.002564155,5.001453421,10.0069613,1.06740762,3.904513007,3.167066676,0.978530288,15.67993603,0.23895266,-13.78606128,627,626
A,C,E,H,J,B,E,A,D,J,A,D,J,A,D,H,L,R,H,L,S,0.028397619,0.007122693,1.006385451,1.997287091,2.035431321,1.179906139,1.049908447,4.482693473,1.016418633,-0.657372907,-56.8740849,628,628
B,D,E,H,J,C,F,A,D,J,A,D,J,B,E,H,L,R,H,L,S,-0.242687014,0.000914496,5.014080476,10.00559244,2.827428779,2.057591762,4.418657374,8.54841024,3.319047247,-7.444109756,-3.246975778,629,628
A,C,E,H,J,A,D,A,D,J,A,D,J,C,F,H,L,R,H,L,S,0.020317346,0.001881005,0.997218405,1.981393355,1.023350744,3.012259698,1.09518486,0.905109298,8.039275587,-12.80728858,-17.01778879,630,629
B,D,E,H,J,B,E,A,D,J,A,D,J,D,G,H,L,R,H,L,S,-0.132913732,0.010472017,4.994410701,10.02332863,2.011607961,3.979229383,4.381410333,4.343627704,14.79673081,8.700432061,-44.90915112,631,631
A,C,E,H,J,C,F,A,D,J,A,D,J,A,D,H,L,R,H,L,S,-0.029139095,0.005274111,1.001983816,2.00185104,3.01426414,1.069949585,1.09301537,8.842141853,1.055167774,-23.93220815,-10.69023895,632,631
B,D,E,H,J,A,D,A,D,J,A,D,J,B,E,H,L,R,H,L,S,0.055618035,3.31E-06,4.979402435,9.979057075,1.11605218,2.128649055,3.84689933,1.25446834,4.282141641,-19.90116072,-26.62639952,633,633
